Fecha y hora de respuesta;2. País o ciudad de nacimiento:;3. Género:;4. Fecha de nacimiento (en formato DD/MM/AAAA):;5. ¿Cuál es el máximo nivel educativo que cursás o cursaste?;6. ¿Qué carrera de grado cursás o cursaste?;7. ¿Qué carrera de posgrado cursás o cursaste?;8. ¿Trabajaste la semana pasada al menos una hora?;9. En ese trabajo...;10. ¿A qué se dedica o qué produce la empresa/establecimiento en el que trabajás?;11. ¿Desde qué fecha (DD/MM/AAAA) trabajás en este puesto?;12. ¿Cómo se llama tu ocupación?;"13. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste con&nbsp;datos&nbsp;(recolectando, limpiando, analizando, etc.)?";14. ¿Cuántos años trabajaste con datos?(Si es menos de 1 registrá 0.);15. ¿Cuáles de las siguientes herramientas utilizaste? (indicar todas las utilizadas)- Excel- SPSS- SAS- R- Python- Otras (indicar cúales);16. ¿Alguna vez (en este trabajo o en otra actividad) trabajaste haciendo tareas de programación?;17. ¿Durante cuántos años? (Si no aplica ingresar 0);"18. ¿Con qué lenguajes? (Indicar todos los que apliquen)-&nbsp;Python- Ruby- PHP- Java- JavaScript- SQL- C++- Otros (indicar cuáles)";19. ¿Qué creés que va a pasar en el curso de Data Science?;20. ¿Qué te gustaría que pase?
10-08-2022 00:23:31;;;;;;;;;;;;;;;;;;;
10-08-2022 00:09:02;Zapala;Masculino;11/04/1991;Universitario;Ingeniería en Petróleo;Ninguna;Si;Hice tareas varias (?;N/A;13/12/2020;Analista de mercados;Si;0;Excel;No;0;N/A;Voy a aprender mucho;Lo que puse en la pregunta 19
09-08-2022 22:58:02;Rosario, Argentina;Masculino;17/07/1993;Universitario - Carrera de Grado;Administración de Empresas;Ninguna;Sí;SÍ;Desarrollo de software específico para concesionarias de vehículos;11/07/2018;Marketplace Manager;Sí;0;Excel;No;0;Ninguno;Recopilación, limpieza, análisis de datos. Creación de modelos de simulación/predicción en base a dicho análisis de datos.;Aprender al máximo el manipuleo y análisis de datos para la toma de decisiones eficientes y a tiempo. Me encantaría poder alcanzar el nivel de aprendizaje necesario que me permita desarrollarme laboralmente en este rubro.
10-08-2022 00:08:43;Argentina;Masculino;28/05/1997;Universitario;Ingenieria Industrial;Ninguno;No;Estuve de vacaciones;Empresa integradora de e-commerce;27/09/2021;Product Analyst & QC;Si;1;Excel, Python, JS, SQL, AWS, PowerBi, DataStudio;Si, aunque poco.;0;JavaScript;Creo que vamos a aprender una bocha de python y data science; Espero que podamos aplicar todo lo aprendido a nuestra vida cotidiana y poder comenzar a desarrollarme como data scientist
10-08-2022 00:10:19;Mar del Plata, Argentina;Masculino;01/02/1994;Universitario finalizado;Ingeniería química;N/A;SÍ;Optimización de producción de crudo en yacimientos de Mendoza y Neuquén.;Oil & Gas;01/04/2019;Ingeniero de Reservorios;SÍ;0;Excel, Power BI;NO;0;N/A;Aprender y fijar conocimientos previos de Python aplicados a Datos. Orientarme en mi aprendizaje futuro.;Terminar el curso sintiéndome cómodo y ágil programando. Finalizar motivado para profundizar conocimientos en Ciencias de Datos.
10-08-2022 00:10:32;Argentina;;;;;;;;;;;;;;;;;;
me desenvuelvo como BI Consultant, trabajando en procesos de ETL con SQL y creando reportes/dashboards con powerbi/tableau/Microstrategy ;01/04/2022;Consultor BI;SI;0;Excel, python, sql, etl, powerbi, tableau, microstrategy;Si;0;Python, SQL;Magia;Que me den muchos proyectos para hacer;;;;;;;;;
10-08-2022 00:08:37;Argentina;Femenino;10/11/1994;Grado;Licenciatura en Relaciones Laborales;Ninguna;Si;realizo analisis de datos.;Proveedor de un servicio de seguridad.;01/06/2021;Analista de Reporting;Si;7;Excel, Power BI, Power Query, Access, Python;No;0;Ninguno;Aprender a realizar modelos predictivos.;Poder comprender la utilizacion de las herramientas y llegar a realizar modelos predictivos.
10-08-2022 00:08:30;Rosario, Santa Fe, Argentina;Masculino;16/12/1992;Universitario Completo;Contador Publico;Ninguno;Si;no aplico conocimientos relativos a Data Science;Es una empresa financiera cripto;01/04/2022;Analista en Prevención de Lavado de Dinero;Suelo utilizar Metabase, aplicativo donde realizo consultas en SQL y a su vez utilizo AppSheet, aplicativo para la visualización de datos.;0;Excel;;;;;
;;;;;;;;;;;;;;;;;;;
